abandon,버리다; 포기하다
okay (OK),좋아; 알겠습니다
old,오래된; 나이 든
olive,올리브
on,~위에; 켜져 있는
once,한 번; 일단 ~하면
one,하나; 한 사람
onion,양파
online,온라인의; 온라인에서
only,오직; 단지
onto,~위로; ~위에
open,열다; 열린
operate,작동하다; 운영하다
operation,작동; 수술; 운영
operator,작동자; 교환원
opinion,의견
opponent,상대; 적대자
opportunity,기회
oppose,반대하다
opposite,반대의; 맞은편의
oppress,억압하다; 탄압하다
optical,시각의; 광학의
optimistic,낙관적인
option,선택; 선택권
optional,선택적인; 임의의
oral,구두의; 입의
orange,오렌지; 주황색의
orbit,궤도
orchestra,오케스트라
order,순서; 명령; 주문하다
ordinary,보통의; 평범한
organ,기관; 오르간
organic,유기농의; 유기적인
organization,조직; 단체
organize,조직하다; 준비하다
origin,기원; 출신
original,원래의; 독창적인
originate,유래하다; 시작되다
ornament,장식품; 장식하다
orphan,고아
other,다른; 그 밖의
otherwise,그렇지 않으면; 다른 방식으로
ought,~해야 한다
our,우리의
ourselves,우리 자신
out,밖으로; 밖에
outcome,결과; 결말
outdoor,야외의
outer,외부의
outlet,출구; 콘센트; 판매점
outline,개요; 윤곽
output,산출; 출력
outside,밖에; 바깥
outstanding,뛰어난; 두드러진
oven,오븐
over,~위에; 끝난; 넘어서
overall,전체의; 종합적인
overcome,극복하다
overlook,간과하다; 내려다보다
overnight,밤새; 하룻밤 사이에
overseas,해외의; 해외로
owe,빚지다; ~덕분이다
own,소유하다; 자신의
owner,소유자
ownership,소유권
oxygen,산소
oyster,굴
pace,속도; 보폭; 걸음
pack,꾸러미; 포장하다; 짐을 싸다
package,꾸러미; 패키지; 소포
packet,작은 봉지; 팩
page,페이지
pain,고통; 아픔
painful,고통스러운
paint,페인트; 칠하다; 그리다
painter,화가; 칠하는 사람
painting,그림; 페인팅
pair,한 쌍; 두 개
palace,궁전
pale,창백한; 엷은
palm,손바닥; 야자나무
pan,팬; 냄비
panel,판; 패널; 토론단
panic,공포; 당황; 공황
pants,바지
paper,종이; 신문; 논문
parade,퍼레이드; 행렬
paradise,천국; 낙원
paragraph,문단; 단락
parallel,평행의; 유사한
parcel,소포; 꾸러미
pardon,용서; 사면
parent,부모
park,공원; 주차하다
parking,주차
parrot,앵무새
part,부분; 역할; 분리하다
partial,부분적인
participant,참가자
participate,참가하다
participation,참여; 참가
particle,입자; 작은 조각
particular,특정한; 특별한
particularly,특히
partner,동료; 파트너
partnership,동업; 협력 관계
party,파티; 정당
pass,통과하다; 합격하다; 패스하다
passage,통로; 한 구절
passenger,승객
passion,열정
passionate,열정적인
passive,수동적인
passport,여권
past,과거; 지나간; ~을 지나서
paste,풀; 반죽; 붙이다
pat,가볍게 두드리다
patch,조각; 덧대다; 패치
path,길; 경로
patience,인내; 참을성
patient,환자; 인내심 있는
patrol,순찰; 순찰하다
pattern,무늬; 패턴; 양식
pause,잠시 멈추다; 중단
pavement,보도; 포장도로
pave,포장하다
pay,지불하다; 봉급
payment,지불; 납입
peace,평화; 평온
peaceful,평화로운
peak,정상; 절정
pear,배(과일)
pearl,진주
peasant,농부; 소작농
peel,껍질을 벗기다; 껍질
peer,또래; 동료
pen,펜; 우리(가축)
penalty,처벌; 벌금; 패널티(스포츠)
pencil,연필
penetrate,관통하다; 꿰뚫다
people,사람들; 국민
per,~당; ~마다
perceive,지각하다; 이해하다
percent,퍼센트
percentage,비율; 백분율
perception,인식; 지각
perfect,완벽한; 완전하게 하다
perfection,완벽; 완전
perform,수행하다; 공연하다
performance,공연; 성과
perfume,향수; 향기
perhaps,아마도
period,기간; 시대; 마침표
permanent,영구적인
permission,허락; 허가
permit,허락하다; 허가증
persist,지속하다; 고집하다
person,사람
personal,개인의; 사적인
personality,성격; 개성
personnel,직원; 인사과
perspective,관점; 시각
persuade,설득하다
pet,애완동물; 귀여워하다
petition,청원; 탄원서
phase,단계; 국면
phenomenon,현상
philosophy,철학
phone,전화; 전화하다
photo,사진
photograph,사진; 사진을 찍다
photographer,사진작가
photography,사진술
phrase,구; 관용구
physical,신체의; 물리적인
physician,의사
physics,물리학
piano,피아노
pick,고르다; 따다
picnic,피크닉; 소풍
picture,그림; 사진
piece,조각; 한 부분
pig,돼지
pile,더미; 쌓다
pill,알약
pilot,조종사; 조종하다
pin,핀; 고정시키다
pinch,꼬집다; 집다
pine,소나무; 갈망하다
pink,분홍색
pioneer,개척자; 선구자
pipe,파이프; 관
pitch,던지다; 음높이; 경기장
pity,동정; 불쌍히 여기다
place,장소; 위치시키다
placement,배치; 위치 선정
plain,분명한; 평범한; 평원
plan,계획; 계획하다
plane,비행기; 평면
planet,행성
plant,식물; 공장; 심다
plastic,플라스틱; 가소성의
plate,접시; 판
platform,플랫폼; 연단
play,놀다; 연극; 경기하다
player,선수; 연주자
playground,놀이터
pleasant,즐거운; 상쾌한
please,기쁘게 하다; 제발
pleasure,즐거움; 기쁨
plenty,풍부함; 충분한 양
plot,음모; 줄거리; 계획하다
plow (plough),쟁기; 갈다
plug,플러그; 막다
plunge,뛰어들다; 급락하다
plus,더하기; 게다가
pocket,주머니
poem,시
poet,시인
poetry,시(문학)
point,점; 요점; 가리키다
poison,독; 독약; 중독시키다
pole,막대; 기둥; 극(지리)
police,경찰
policy,정책; 방침
polish,닦다; 광택내다; 폴란드어
polite,예의 바른
political,정치의
politician,정치인
politics,정치
pollute,오염시키다
pollution,오염
pond,연못
pool,수영장; 웅덩이
poor,가난한; 부족한; 형편없는
pop,팝(음악); 불시의; 터뜨리다
popular,인기 있는
population,인구
porch,현관; 포치
pork,돼지고기
port,항구
portable,휴대용의
portion,부분; 1인분
portrait,초상화
position,위치; 자리; 지위
positive,긍정적인; 확실한
possess,소유하다
possession,소유; 소지품
possible,가능한
possibly,아마; 어쩌면
post,우편; 게시하다; 직책
postcard,엽서
poster,포스터
pot,항아리; 냄비; 화분
potato,감자
potential,잠재력; 가능성
pound,파운드(무게 단위); 세게 치다
pour,붓다; 쏟다
poverty,빈곤
powder,가루; 분말
power,힘; 권력; 전력
powerful,강력한; 영향력 있는
practical,실용적인; 실제적인
practice,연습; 실천; 관습
practise,연습하다(영국식)
praise,칭찬하다; 찬양
pray,기도하다
prayer,기도; 기도문
preach,설교하다; 전도하다
precaution,예방책; 주의
precede,앞서다; 선행하다
precious,귀중한; 소중한
precise,정확한; 정밀한
precision,정확성; 정밀도
predict,예측하다
prediction,예측
prefer,선호하다
preference,선호; 기호
pregnant,임신한
prejudice,편견
premise,전제; 건물 부지
prepare,준비하다
preparation,준비; 대비
preposition,전치사
prescribe,처방하다; 규정하다
prescription,처방전
presence,존재; 참석
present,주다; 제시하다; 현재의; 선물
presentation,발표; 제시
preserve,보존하다; 보호하다
president,대통령; 회장
press,누르다; 언론; 인쇄기
pressure,압력; 스트레스
pretend,~인 척하다; 가장하다
pretty,꽤; 예쁜
prevail,우세하다; 만연하다
prevent,막다; 예방하다
previous,이전의; 앞의
previously,이전에
price,가격
pride,자부심; 자존심
priest,성직자; 신부
primary,주요한; 초등의
prime,최고의; 주요한
primitive,원시의; 초기의
prince,왕자
princess,공주
principal,교장; 주요한
principle,원칙; 원리
print,인쇄하다; 출판하다; 인쇄물
printer,프린터
priority,우선순위
prison,감옥
prisoner,죄수; 포로
privacy,사생활; 개인 정보
private,사적인; 개인의
privilege,특권; 혜택
prize,상; 상금
probable,있을 법한; 개연성 있는
probably,아마; 대개
problem,문제; 과제
procedure,절차; 과정
proceed,나아가다; 진행하다
process,과정; 처리하다
produce,생산하다
product,제품; 산출물
production,생산; 제작
profession,직업; 전문직
professional,전문적인; 직업의
professor,교수
profile,프로필; 옆모습; 특징
profit,이익; 수익
program,프로그램; 계획
progress,진전; 진행
progressive,진보적인; 꾸준한
prohibit,금지하다
project,프로젝트; 계획
promise,약속하다; 약속
promote,촉진하다; 승진시키다
promotion,승진; 홍보
prompt,즉각적인; 자극하다
pronounce,발음하다
pronunciation,발음
proof,증거; 입증
proper,적절한; 올바른
properly,제대로; 적절히
property,재산; 소유물
proportion,비율; 부분
proposal,제안; 청혼
propose,제안하다; 청혼하다
prospect,전망; 가능성
protect,보호하다
protection,보호
protest,항의하다; 항의
proud,자랑스러운; 자만한
prove,증명하다; 입증하다
provide,제공하다; 공급하다
province,지방; 주(행정 구역)
provision,조항; 공급
psychology,심리학
pub,술집; 펍
public,공공의; 대중
publication,출판; 발표
publish,출판하다; 발표하다
pull,당기다
pulse,맥박; 진동
pump,펌프; 펌프로 퍼 올리다
punch,주먹으로 치다; 펀치
punish,처벌하다; 벌주다
punishment,처벌
pupil,학생; 눈동자
puppy,강아지
purchase,구입하다; 구매
pure,순수한; 깨끗한
purify,정화하다
purple,보라색
purpose,목적; 용도
pursue,추구하다; 뒤쫓다
push,밀다; 추진하다
put,놓다; 두다
puzzle,수수께끼; 퍼즐; 혼란스럽게 하다
qualify,자격을 갖추다
quality,품질; 특성
quantity,양; 수량
quarrel,다투다; 언쟁
quarter,4분의 1; 분기
queen,여왕
queer,이상한; 기묘한
question,질문; 의문; 질문하다
questionnaire,설문지
queue,줄; 줄을 서다
quick,빠른; 신속한
quickly,빨리; 신속하게
quiet,조용한; 고요한
quit,그만두다; 떠나다
quite,꽤; 상당히; 완전히
quotation,인용; 인용문
quote,인용하다
rabbit,토끼
race,경주; 인종; 질주하다
racial,인종의
rack,선반; 받침대
radar,레이더
radiate,방출하다; 빛나다
radiation,방사선; 복사
radio,라디오
radish,무
rage,분노; 격렬함
raid,습격; 급습
rail,철도; 난간
railroad,철도; 철길
railway,철도(영국)
rain,비; 비가 오다
rainbow,무지개
raise,올리다; 기르다; 임금 인상
rally,집회; 규합하다
range,범위; 다양성; 정렬시키다
rank,등급; 지위; 줄서다
rapid,빠른; 신속한
rare,드문; 희귀한
rarely,드물게; 거의 ~않다
rate,비율; 요금; 평가하다
rather,오히려; 차라리; 다소
ratio,비율
raw,날것의; 가공되지 않은
reach,도달하다; 닿다
react,반응하다
reaction,반응; 반작용
read,읽다
reader,독자
readily,쉽게; 기꺼이
reading,독서; 읽기
ready,준비된; 기꺼이 ~하는
real,현실의; 진짜의
reality,현실
realize (realise),깨닫다; 실현하다
really,정말; 실제로
reason,이유; 추론하다
reasonable,합리적인; 적당한
rebel,반역자; 반란을 일으키다
rebellion,반란; 저항
recall,기억하다; 회상하다
receipt,영수증
receive,받다; 수신하다
recent,최근의
recently,최근에
reception,환영; 접수; 수신
recipe,요리법; 레시피
recognize (recognise),인정하다; 알아보다
recommend,추천하다
record,기록하다; 음반; 기록
recording,녹음; 녹취
recover,회복하다; 되찾다
recovery,회복
recruit,모집하다; 채용하다
rectangle,직사각형
recycle,재활용하다
red,빨간
reduce,줄이다; 감소시키다
reduction,감소; 축소
refer,언급하다; 참조하다
reference,참고; 언급; 참고문헌
reflect,반사하다; 숙고하다
reflection,반사; 숙고
reform,개혁하다; 개선하다
refrigerator,냉장고
refuse,거절하다; 쓰레기(명사)
regard,여기다; 고려하다; 존경
regarding,~에 관하여
region,지역; 지방
regional,지역의
register,등록하다; 기록하다; 금전등록기
registration,등록
regret,후회하다; 유감
regular,정기적인; 규칙적인
regulate,규제하다; 조절하다
regulation,규정; 조절
reinforce,강화하다
reject,거부하다; 거절하다
relate,관련시키다; 이야기하다
relation,관계; 친척
relationship,관계; 연관성
relative,친척; 상대적인
relatively,비교적; 상대적으로
relax,쉬다; 긴장을 풀다
release,발표하다; 방출하다; 석방하다
reliable,믿을 수 있는
relief,안도; 구호; 경감
religion,종교
religious,종교적인
reluctant,내키지 않는; 꺼리는
rely,의존하다; 신뢰하다
remain,남다; 유지되다
remark,언급하다; 발언
remarkable,주목할 만한
remedy,치료; 해결책; 고치다
remember,기억하다
remind,상기시키다
remote,외진; 원격의
remove,제거하다; 치우다
rent,임대하다; 집세; 임차료
repair,수리하다; 고치다
repeat,반복하다
replace,대체하다; 교체하다
reply,대답하다; 답장
report,보고하다; 보고서
reporter,기자
represent,대표하다; 나타내다
representation,표현; 대표
representative,대표자; 대리인
reproduce,재생하다; 번식하다
republic,공화국
reputation,평판; 명성
request,요청하다; 요청
require,필요로 하다; 요구하다
requirement,요구 조건; 필요 조건
rescue,구하다; 구조하다
research,연구; 조사
researcher,연구자
resemble,닮다; 유사하다
reservation,예약; 의구심
reserve,예약하다; 보유하다
resident,거주자; 주민
resign,사임하다; 물러나다
resignation,사임; 체념
resist,저항하다; 참다
resistance,저항; 반대
resolution,결의; 해결; 해상도
resolve,해결하다; 결심하다
resort,리조트; 의존하다
resource,자원; 자산
respect,존중하다; 존경; 면
respectful,공손한; 존경심을 보이는
respond,응답하다; 대응하다
response,응답; 반응
responsibility,책임
responsible,책임 있는
rest,휴식; 나머지; 쉬다
restaurant,식당; 레스토랑
restore,복원하다; 회복시키다
restrict,제한하다; 금지하다
restriction,제한; 규제
result,결과; 결실; 초래하다
resume,이력서; 다시 시작하다
retain,유지하다; 보유하다
retire,은퇴하다
retirement,은퇴
retreat,후퇴하다; 퇴각하다
return,돌아오다; 반납하다; 수익
reveal,드러내다; 밝히다
revenge,복수; 설욕
reverse,뒤집다; 반대의
review,검토하다; 평가하다; 리뷰
revise,수정하다; 개정하다
revision,개정판; 정정
revive,되살리다; 회복시키다
revolution,혁명; 대변혁
reward,보상; 보답
rhythm,리듬; 박자
rib,갈비뼈
ribbon,리본
rice,쌀; 밥
rich,부유한; 풍부한
rid,없애다; 제거하다
ride,타다; 태워주다
rider,타는 사람; 승객
ridiculous,우스운; 터무니없는
right,오른쪽; 권리; 맞는
rigid,단단한; 엄격한
ring,반지; 울리다
riot,폭동; 소요
ripe,익은; 성숙한
ripen,익다; 익히다
rise,오르다; 상승; 일어나다
risk,위험; 모험
rival,경쟁자; 라이벌
river,강
road,도로; 길
roar,포효하다; 울부짖다
roast,굽다; 로스트
rob,강도짓하다; 빼앗다
robber,강도
robbery,강도질
robot,로봇
rock,바위; 흔들다
rocket,로켓
rod,막대; 봉
role,역할
roll,구르다; 말다; 명단
roof,지붕
room,방; 공간
root,뿌리; 근원
rope,밧줄
rose,장미
rotate,회전하다
rotation,회전
rough,거친; 대략적인
round,둥근; 라운드; 둘레
route,길; 경로
routine,일상; 반복적인 일
row,열; 줄; 노를 젓다
royal,왕실의
rub,문지르다
rubber,고무
rubbish,쓰레기(영국)
rude,무례한; 버릇없는
rug,깔개; 담요
rule,규칙; 지배하다
ruler,자(도구); 통치자
rumor (rumour),소문
run,달리다; 운영하다
runner,주자; 러너
rural,시골의; 지방의
rush,서두르다; 돌진하다
rust,녹; 녹슬다
sack,부대; 자루; 해고하다
sacred,신성한; 성스러운
sacrifice,희생; 희생하다
sad,슬픈
saddle,안장; 안장을 얹다
safe,안전한; 금고
safety,안전
sail,항해하다; 돛
sailor,선원
saint,성인; 성자
salary,급여; 봉급
sale,판매
salmon,연어
salt,소금
salty,짠
salute,경례하다; 경례
same,같은; 동일한
sample,표본; 샘플
sanction,제재; 허가
sand,모래
satisfaction,만족
satisfactory,만족스러운
satisfy,만족시키다
saturated,포화된; 흠뻑 젖은
Saturday,토요일
sauce,소스; 양념
sausage,소시지
save,구하다; 저장하다; 절약하다
saving,절약; 저축
saw,톱; 톱질하다; see의 과거
say,말하다
scale,규모; 저울; 비늘
scan,스캔하다; 훑어보다
scandal,스캔들
scar,흉터; 상처
scare,놀라게 하다; 겁
scared,무서운; 겁먹은
scarf,스카프
scatter,흩뿌리다; 퍼뜨리다
scene,장면; 현장
scenery,풍경; 경치
schedule,일정; 시간표
scheme,계획; 제도; 음모
scholar,학자
scholarship,장학금; 학식
school,학교
science,과학
scientific,과학의; 과학적인
scientist,과학자
scissors,가위
scold,꾸짖다; 야단치다
scope,범위; 영역
score,점수; 득점하다
scratch,긁다; 긁힌 자국
scream,비명; 비명을 지르다
screen,화면; 상영하다
screw,나사; 나사를 조이다
sea,바다
seal,봉인하다; 물개; 도장
search,찾다; 수색하다
season,계절; 양념하다
seat,좌석; 앉히다
second,두 번째; 초(시간)
secondary,부차적인; 중등의
secret,비밀; 비밀의
secretary,비서
section,부분; 구획
sector,부문; 분야
secure,확보하다; 안전한
security,보안; 안전
see,보다; 이해하다
seed,씨앗
seek,찾다; 구하다
seem,~처럼 보이다
seize,붙잡다; 장악하다
seldom,거의 ~않다
select,선택하다
selection,선택; 선정
self,자신; 자아
selfish,이기적인
sell,팔다
seminar,세미나
senior,손윗사람; 상급자; 고령자
sense,감각; 느낌; 의미
sensible,분별 있는; 합리적인
sensitive,민감한; 예민한
sentence,문장; 판결
separate,분리하다; 분리된
separation,분리; 이별
September,9월
sequence,순서; 연속
series,연속; 시리즈
serious,심각한; 진지한
serve,봉사하다; 제공하다; 서빙하다
service,서비스; 봉사; 근무
session,회기; 기간; 수업
set,놓다; 설정하다; 세트
settle,정착하다; 해결하다
settlement,해결; 합의; 정착
seven,일곱
seventeen,열일곱
seventh,일곱 번째
seventy,일흔
several,여러; 몇몇의
severe,심각한; 가혹한
sew,바느질하다
shade,그늘; 색조; 가리다
shadow,그림자
shake,흔들다; 흔들리다
shall,~할 것이다; ~해야 한다
shallow,얕은
shame,수치; 창피
shape,모양; 형태
share,공유하다; 나누다
sharp,날카로운; 급격한
shave,면도하다
she,그녀는; 그녀가
shear,깎다; 베다
shed,흘리다; 벗다; 창고
sheep,양
sheet,시트; 한 장
shelf,선반
shell,껍데기; 포탄
shelter,피난처; 보호하다
shift,이동하다; 변화; 교대
shine,빛나다; 반짝이다
ship,배; 선박; 배송하다
shirt,셔츠
shock,충격; 놀라게 하다
shoe,신발
shoot,쏘다; 촬영하다
shop,가게; 쇼핑하다
shopping,쇼핑
shore,해안; 물가
short,짧은; 부족한
shortage,부족; 결핍
shortly,곧; 얼마 안 있어
shot,발사; 사진; 숏(영상 단위)
should,~해야 한다; ~일 것이다
shoulder,어깨
shout,외치다; 소리 지르다
show,보여주다; 쇼; 전시
shower,샤워; 소나기
shrink,줄어들다; 수축하다
shut,닫다; 닫힌
shy,수줍은
sick,아픈; 병든
side,쪽; 측면
sigh,한숨; 한숨 쉬다
sight,시력; 광경
sign,표지판; 신호; 서명하다
signal,신호
signature,서명; 사인
significant,중요한; 의미 있는
silence,침묵; 고요
silent,조용한; 침묵하는
silk,비단; 실크
silly,어리석은
silver,은; 은색
similar,비슷한
simple,간단한; 소박한
simply,단순히; 그저
sin,죄; 죄를 짓다
since,~이래로; ~때문에
sing,노래하다
singer,가수
single,하나의; 단일의; 독신의
sink,가라앉다; 싱크대
sir,선생님; ~님
sister,자매; 여자 형제
sit,앉다
site,장소; 현장; 사이트
situation,상황; 처지
six,여섯
sixteen,열여섯
sixty,예순
size,크기; 사이즈
skate,스케이트를 타다
sketch,스케치; 밑그림
ski,스키; 스키를 타다
skill,기술; 능력
skilled,숙련된; 능숙한
skim,훑다; 스치다
skin,피부
skip,건너뛰다; 생략하다
skirt,스커트; 치마
sky,하늘
slam,쾅 닫다; 세게 던지다
slap,찰싹 때리다; 철썩 부딪힘
slave,노예
slavery,노예제도
sleep,잠자다; 잠
sleeve,소매
slice,조각; 얇게 썰다
slide,미끄러지다; 슬라이드
slight,약간의; 가벼운
slim,날씬한; 호리호리한
slip,미끄러지다; 실수; 쪽지
slogan,슬로건; 구호
slope,경사; 비탈
slot,구멍; 자리; 슬롯
slow,느린; 늦추다
slowly,천천히
small,작은
smart,영리한; 스마트한
smell,냄새; 냄새 맡다
smile,미소; 웃다
smoke,연기; 담배를 피우다
smooth,부드러운; 매끄러운
snack,간식
snake,뱀
snap,딱 부러뜨리다; 덥석 물다
sneeze,재채기하다
snow,눈; 눈이 오다
so,그래서; 매우
soap,비누
soccer,축구
social,사회적인
society,사회; 단체
sock,양말
soft,부드러운; 연한
software,소프트웨어
soil,흙; 토양
solar,태양의
soldier,군인
sole,유일한; 발바닥
solid,고체; 단단한
solution,해결책
solve,해결하다
some,어떤; 약간
somebody,누군가
somehow,어떻게든; 왜인지
someone,누군가
something,어떤 것; 무언가
sometimes,가끔
somewhat,어느 정도
somewhere,어딘가에
son,아들
song,노래
soon,곧
sore,아픈; 쓰린
sorry,미안한; 유감스러운
sort,종류; 분류하다
soul,영혼; 정신
sound,소리; 들리다
soup,수프
source,원천; 출처
south,남쪽
southern,남쪽의; 남부의
space,공간; 우주
spacious,넓은
spade,삽
span,기간; 폭
spare,여분의; 할애하다
spark,불꽃; 불러일으키다
speak,말하다
speaker,연설가; 스피커
special,특별한
specialist,전문가
species,종; 종류
specific,구체적인; 특정한
specify,명시하다
spectacle,광경; 장관
spectator,관중
speech,연설; 말하기
speed,속도; 빨리 가다
spell,철자하다; 주문; 기간
spend,쓰다; 소비하다
sphere,구; 영역
spill,엎지르다; 유출
spin,돌리다; 회전하다
spirit,정신; 영혼
spiritual,정신의; 영적인
spit,침을 뱉다
splendid,훌륭한; 멋진
split,쪼개다; 나누다
spoil,망치다; 버릇없이 만들다
sponsor,스폰서; 후원하다
spoon,숟가락
sport,스포츠; 운동
spot,장소; 점; 발견하다
spread,퍼지다; 펼치다
spring,봄; 샘; 용수철
spray,뿌리다; 스프레이
spreadsheet,스프레드시트
springtime,봄철
square,정사각형; 광장
squeeze,짜다; 꽉 쥐다
stable,안정된; 마구간
stack,더미; 쌓다
staff,직원; 사원
stage,단계; 무대
stain,얼룩; 얼룩지게 하다
stairs,계단
stake,말뚝; 지분
stamp,우표; 도장
stand,서다; 참다; 스탠드
standard,표준; 기준
star,별; 스타
stare,응시하다
start,시작하다
starve,굶주리다
state,상태; 주(USA)
statement,진술; 성명
station,역; 정거장; 방송국
statistics,통계
statue,조각상
status,지위; 상태
stay,머무르다
steadily,꾸준히
steady,꾸준한; 안정된
steal,훔치다
steam,증기; 김
steel,강철
steep,가파른
steer,조종하다
stem,줄기; 유래하다
step,걸음; 단계; 밟다
stick,막대기; 붙이다
sticky,끈적거리는
stiff,뻣뻣한; 경직된
still,여전히; 고요한
stimulate,자극하다; 격려하다
sting,찌르다; 쏘다; 따가움
stir,휘젓다; 자극하다
stock,재고; 주식
stomach,위; 배
stone,돌; 비석
stool,의자; 스툴
stop,멈추다; 정류장
store,가게; 저장하다
storm,폭풍
story,이야기
stove,난로; 스토브
straight,똑바로; 솔직한
strain,부담; 압박; 긴장
strange,이상한; 낯선
stranger,낯선 사람
strategy,전략
straw,짚; 빨대
strawberry,딸기
stream,개울; 흐름; 스트리밍
street,거리
strength,힘; 강점
stress,스트레스; 강조하다
stretch,뻗다; 늘이다
strict,엄격한
strike,때리다; 파업
string,끈; 줄; 문자열
strip,벗기다; 옷을 벗다; 띠
stripe,줄무늬
stroke,타격; 발작; 쓰다듬기
strong,강한
strongly,강하게; 굳게
structure,구조; 건축물
struggle,투쟁하다; 애쓰다
student,학생
studio,스튜디오
study,공부하다; 연구하다
stuff,물건; 채워 넣다
stupid,어리석은
style,스타일; 방식
subject,과목; 주제; 대상
submit,제출하다; 복종하다
substance,물질; 본질
substantial,상당한; 실질적인
substitute,대신하다; 대체물
subtract,빼다; 공제하다
suburb,교외; 근교
subway,지하철
succeed,성공하다
success,성공
successful,성공적인
successor,후임자; 계승자
such,그러한; 매우
sudden,갑작스러운
suffer,고통받다; 겪다
sufficient,충분한
sugar,설탕
suggest,제안하다; 암시하다
suggestion,제안; 암시
suit,정장; 어울리다; 소송
suitable,적합한
sum,합계; 요약하다
summarize,요약하다
summary,요약
summer,여름
sun,태양
sunlight,햇빛
sunny,맑은; 햇볕이 좋은
sunrise,일출
sunset,일몰
super,최고의; 매우 뛰어난
superb,훌륭한; 최고의
superior,우수한; 상급자
supermarket,슈퍼마켓
supply,공급하다; 공급
support,지지하다; 지원
supporter,지지자; 후원자
suppose,가정하다; 추측하다
sure,확실한; 물론
surely,확실히; 틀림없이
surface,표면; 외관
surge,급증하다; 치솟다
surgeon,외과 의사
surgery,수술
surprise,놀라게 하다; 놀람
surprising,놀라운
surround,둘러싸다
surroundings,주변 환경
survey,조사; 설문
survival,생존
survive,살아남다
suspect,의심하다; 용의자
suspend,중단하다; 매달다
suspicion,의심; 혐의
sustain,유지하다; 지속시키다
swallow,삼키다; 제비(새)
swear,맹세하다; 욕하다
sweat,땀; 땀흘리다
sweep,쓸다; 청소하다
sweet,달콤한; 상냥한
swell,부풀다; 붓다
swim,수영하다
swimmer,수영선수; 수영하는 사람
swing,휘두르다; 그네; 흔들다
switch,전환하다; 스위치
sword,칼; 검
symbol,상징; 기호
sympathy,동정; 공감
symptom,증상; 징후
system,시스템; 체계
table,탁자; 표
tablet,태블릿; 정제(알약)
tackle,다루다; 태클하다
tail,꼬리; 뒤따르다
take,가져가다; 잡다; 받다
tale,이야기; 전설
talent,재능; 재주
talk,말하다; 이야기
tall,키 큰
tank,탱크; 수조
tap,가볍게 두드리다; 수도꼭지
tape,테이프; 녹음하다
target,목표; 표적
task,과제; 일
taste,맛; 맛보다
tasty,맛있는
tattoo,문신
tax,세금
taxi,택시
tea,차(음료)
teach,가르치다
teacher,선생님; 교사
teaching,교육; 가르침
team,팀; 조
tear,눈물; 찢다
technical,기술적인
technique,기법; 기술
technology,기술; 테크놀로지
teen,십대
teenager,십대 청소년
telephone,전화
telescope,망원경
television,텔레비전
tell,말하다; 알려주다
temperature,온도; 기온
temple,사원; 절; 관자놀이
temporary,임시의
ten,열
tend,~하는 경향이 있다; 돌보다
tender,부드러운; 상냥한
tennis,테니스
tense,긴장한; 시제(문법)
tension,긴장; 압력
tent,텐트
term,기간; 용어; 조건
terminal,터미널; 말기의
terrible,끔찍한; 형편없는
terrific,아주 멋진; 훌륭한
territory,영토; 영역
terror,공포; 테러
test,시험; 검사하다
text,글; 문자 메시지
textbook,교과서
than,~보다
thank,감사하다
thanks,감사; 고마움
that,저것; 그것; ~하는
the,그
theater (theatre),극장; 연극
their,그들의
them,그들을; 그들에게
theme,주제; 테마
themselves,그들 자신
then,그때; 그러고 나서
theory,이론
there,거기; 그곳
therefore,그러므로
thermometer,온도계
these,이것들
they,그들은
thick,두꺼운; 진한
thief,도둑
thin,얇은; 마른
thing,것; 물건
think,생각하다
third,세 번째
thirst,갈증
this,이것; 이
thorn,가시
thorough,철저한; 완전한
those,저것들; 그것들
though,비록 ~일지라도; 그러나
thought,생각; 사고
thousand,천
thread,실; 실타래; 스레드
threat,위협; 협박
threaten,위협하다
three,셋
throat,목; 인후
through,~을 통하여; 끝까지
throughout,도처에; ~동안 내내
throw,던지다
thumb,엄지손가락
thunder,천둥
Thursday,목요일
thus,따라서; 그러므로
ticket,표; 티켓
tide,조수; 흐름
tie,묶다; 넥타이; 동점
tiger,호랑이
tight,꽉 끼는; 단단한
till,~까지; 경작하다
time,시간; 때; 시기
timber,목재
tiny,작고 귀여운; 아주 작은
tip,조언; 끝부분; 팁
tire,지치게 하다; 타이어
tired,피곤한
tissue,조직; 휴지
title,제목; 칭호
to,~로; ~에게
toast,건배; 토스트
tobacco,담배; 담배잎
today,오늘
toe,발가락
together,함께
toilet,화장실
tolerance,관용; 참을성
tolerate,참다; 용인하다
tomato,토마토
tomorrow,내일
tone,어조; 음색
tongue,혀; 언어
tonight,오늘 밤
too,너무; 또한
tool,도구; 공구
tooth,이; 치아
top,맨 위; 정상
topic,주제
torch,횃불; 손전등
total,전체의; 총합
touch,만지다; 접촉
tough,튼튼한; 힘든
tour,여행; 관광하다
tourism,관광
tourist,관광객
tournament,토너먼트; 경기 대회
toward (towards),~쪽으로
tower,탑; 높이 솟다
town,도시; 읍
toxic,독성의; 유해한
toy,장난감
trace,흔적; 추적하다
track,길; 트랙; 기록하다
tractor,트랙터
trade,무역; 거래하다
tradition,전통
traditional,전통적인
traffic,교통; 통행
tragedy,비극
trail,자국; 오솔길; 끌다
train,기차; 훈련하다
trainer,트레이너; 조련사
training,훈련; 교육
trait,특성; 특징
transaction,거래; 처리
